bootstrap_iter,sample_size,ari_vs_full,n_clusters,noise_frac
0,8,1.0,1,0.125
1,8,1.0,1,0.125
2,8,1.0,1,0.125
3,8,1.0,1,0.125
4,8,0.0,1,0.125
5,8,1.0,1,0.125
6,8,1.0,1,0.125
7,8,1.0,1,0.125
8,8,1.0,1,0.125
9,8,1.0,1,0.125
10,8,1.0,1,0.125
11,8,1.0,1,0.125
12,8,1.0,1,0.125
13,8,1.0,1,0.0
14,8,1.0,1,0.125
15,8,1.0,1,0.125
16,8,0.46153846153846156,1,0.25
17,8,1.0,1,0.0
18,8,1.0,1,0.125
19,8,0.46153846153846156,1,0.25
20,8,1.0,1,0.125
21,8,0.0,2,0.0
22,8,1.0,1,0.0
23,8,1.0,1,0.125
24,8,0.46153846153846156,1,0.25
25,8,1.0,1,0.125
26,8,1.0,1,0.125
27,8,1.0,1,0.125
28,8,0.0,1,0.125
29,8,0.46153846153846156,1,0.25
30,8,1.0,1,0.125
31,8,1.0,1,0.125
32,8,0.46153846153846156,1,0.25
33,8,1.0,1,0.125
34,8,0.46153846153846156,1,0.25
35,8,0.1724137931034483,1,0.375
36,8,1.0,1,0.125
37,8,0.0,1,0.125
38,8,1.0,1,0.0
39,8,1.0,1,0.0
40,8,1.0,1,0.125
41,8,1.0,1,0.0
42,8,1.0,1,0.125
43,8,1.0,1,0.125
44,8,1.0,1,0.125
45,8,0.0,1,0.125
46,8,1.0,1,0.125
47,8,0.46153846153846156,1,0.25
48,8,1.0,1,0.125
49,8,0.46153846153846156,1,0.25
50,8,1.0,1,0.125
51,8,1.0,1,0.0
52,8,1.0,1,0.125
53,8,1.0,1,0.125
54,8,0.46153846153846156,1,0.25
55,8,1.0,1,0.0
56,8,1.0,1,0.125
57,8,0.46153846153846156,1,0.25
58,8,0.46153846153846156,1,0.25
59,8,1.0,1,0.125
60,8,0.46153846153846156,1,0.25
61,8,1.0,1,0.125
62,8,1.0,1,0.125
63,8,1.0,1,0.125
64,8,1.0,1,0.0
65,8,1.0,1,0.125
66,8,1.0,1,0.0
67,8,1.0,1,0.125
68,8,0.46153846153846156,1,0.25
69,8,0.46153846153846156,1,0.25
70,8,1.0,1,0.125
71,8,1.0,1,0.0
72,8,1.0,1,0.125
73,8,0.0,1,0.125
74,8,1.0,1,0.125
75,8,1.0,1,0.125
76,8,1.0,1,0.125
77,8,1.0,1,0.125
78,8,1.0,1,0.0
79,8,1.0,1,0.125
80,8,0.46153846153846156,1,0.25
81,8,1.0,1,0.125
82,8,1.0,1,0.125
83,8,1.0,1,0.125
84,8,1.0,1,0.125
85,8,0.46153846153846156,1,0.25
86,8,1.0,1,0.125
87,8,1.0,1,0.0
88,8,1.0,1,0.125
89,8,1.0,1,0.125
90,8,0.1724137931034483,1,0.375
91,8,1.0,1,0.125
92,8,1.0,1,0.125
93,8,0.46153846153846156,1,0.25
94,8,0.0,1,0.125
95,8,1.0,1,0.125
96,8,1.0,1,0.125
97,8,1.0,1,0.125
98,8,0.46153846153846156,1,0.25
99,8,1.0,1,0.125
